"country","giniWB","yearWB","giniCIA","yearCIA","pop2021"
"South Africa","63","2014","63","2014","60041.9940"
"Namibia","59.1000","2015","59.1000","2015","2587.3440"
"Suriname","57.9000","1999","","","591.8000"
"Zambia","57.1000","2015","57.1000","2015","18920.6510"
"Sao Tome and Principe","56.3000","2017","56.3000","2017","223.3680"
"Central African Republic","56.2000","2008","43.6000","2003","4919.9810"
"Eswatini","54.6000","2016","54.6000","2016","1172.3620"
"Mozambique","54","2014","54","2014","32163.0470"
"Brazil","53.4000","2019","53.9000","2018","213993.4370"
"Belize","53.3000","1999","","","404.9140"
"Botswana","53.3000","2015","53.3000","2015","2397.2410"
"Angola","51.3000","2018","51.3000","2018","33933.6100"
"Colombia","51.3000","2019","50.4000","2018","51265.8440"
"Saint Lucia","51.2000","2016","51.2000","2016","184.4000"
"Guinea-Bissau","50.7000","2010","50.7000","2010","2015.4940"
"Zimbabwe","50.3000","2019","44.3000","2017","15092.1710"
"Panama","49.8000","2019","49.2000","2018","4381.5790"
"Republic of the Congo","48.9000","2011","48.9000","2011","5657.0130"
"Guatemala","48.3000","2014","48.3000","2014","18249.8600"
"Costa Rica","48.2000","2019","48","2018","5139.0520"
"Honduras","48.2000","2019","52.1000","2018","10062.9910"
"Benin","47.8000","2015","47.8000","2015","12451.0400"
"Cameroon","46.6000","2014","46.5000","2014","27224.2650"
"Nicaragua","46.2000","2014","46.2000","2014","6702.3850"
"Paraguay","45.7000","2019","46.2000","2018","7219.6380"
"Ecuador","45.7000","2019","45.4000","2018","17888.4750"
"Jamaica","45.5000","2004","35","2016","2973.4630"
"Mexico","45.4000","2018","36.8000","2018","130262.2160"
"Comoros","45.3000","2014","45.3000","2014","888.4510"
"Guyana","45.1000","1998","44.6000","2007","790.3260"
"Lesotho","44.9000","2017","44.9000","2017","2159.0790"
"Venezuela","44.8000","2006","39","2011","28704.9540"
"Malawi","44.7000","2016","44.7000","2016","19647.6840"
"Chile","44.4000","2017","44.4000","2017","19212.3610"
"South Sudan","44.1000","2016","46","2010","11381.3780"
"Rwanda","43.7000","2016","43.7000","2016","13276.5130"
"Ghana","43.5000","2016","43.5000","2016","31732.1290"
"Chad","43.3000","2011","43.3000","2011","16914.9850"
"Togo","43.1000","2015","43.1000","2015","8478.2500"
"Argentina","42.9000","2019","41.4000","2018","45605.8260"
"Uganda","42.8000","2016","42.8000","2016","47123.5310"
"Madagascar","42.6000","2012","42.6000","2012","28427.3280"
"Philippines","42.3000","2018","44.4000","2015","111046.9130"
"DR Congo","42.1000","2012","42.1000","2012","92377.9930"
"Iran","42","2018","40.8000","2017","85028.7590"
"Papua New Guinea","41.9000","2009","50.9000","1996","9119.0100"
"Dominican Republic","41.9000","2019","43.7000","2018","10953.7030"
"Turkey","41.9000","2019","41.9000","2018","85042.7380"
"Djibouti","41.6000","2017","41.6000","2017","1002.1870"
"Bolivia","41.6000","2019","42.2000","2018","11832.9400"
"Ivory Coast","41.5000","2015","","","27053.6290"
"Peru","41.5000","2019","42.8000","2018","33359.4180"
"United States","41.4000","2018","41.1000","2016","332915.0730"
"Bulgaria","41.3000","2018","40.4000","2017","6896.6630"
"Haiti","41.1000","2012","41.1000","2012","11541.6850"
"Malaysia","41.1000","2015","41","2015","32776.1940"
"Turkmenistan","40.8000","1998","40.8000","1998","6117.9240"
"Kenya","40.8000","2015","40.8000","2015","54985.6980"
"Tanzania","40.5000","2017","40.5000","2017","61498.4370"
"Trinidad and Tobago","40.3000","1992","","","1403.3750"
"Senegal","40.3000","2011","40.3000","2011","17196.3010"
"Micronesia","40.1000","2013","40.1000","2013","116.2540"
"Uruguay","39.7000","2019","39.7000","2018","3485.1510"
"Morocco","39.5000","2013","39.5000","2013","37344.7950"
"Sri Lanka","39.3000","2016","39.8000","2016","21497.3100"
"Tuvalu","39.1000","2010","39.1000","2010","11.9310"
"Israel","39","2016","37","2018","8789.7740"
"El Salvador","38.8000","2019","38.6000","2018","6518.4990"
"Laos","38.8000","2018","36.4000","2012","7379.3580"
"Samoa","38.7000","2013","38.7000","2013","200.1490"
"Burundi","38.6000","2013","38.6000","2013","12255.4330"
