"country","giniWB","yearWB","giniCIA","yearCIA","pop2021","country_code"
"South Africa","63","2014","63","2014","60041.9940","ZAF"
"Namibia","59.1000","2015","59.1000","2015","2587.3440","NAM"
"Suriname","57.9000","1999","","","591.8000","SUR"
"Zambia","57.1000","2015","57.1000","2015","18920.6510","ZMB"
"Sao Tome and Principe","56.3000","2017","56.3000","2017","223.3680","STP"
"Central African Republic","56.2000","2008","43.6000","2003","4919.9810","CAF"
"Eswatini","54.6000","2016","54.6000","2016","1172.3620","SWZ"
"Mozambique","54","2014","54","2014","32163.0470","MOZ"
"Brazil","53.4000","2019","53.9000","2018","213993.4370","BRA"
"Belize","53.3000","1999","","","404.9140","BLZ"
"Botswana","53.3000","2015","53.3000","2015","2397.2410","BWA"
"Angola","51.3000","2018","51.3000","2018","33933.6100","AGO"
"Colombia","51.3000","2019","50.4000","2018","51265.8440","COL"
"Saint Lucia","51.2000","2016","51.2000","2016","184.4000","LCA"
"Guinea-Bissau","50.7000","2010","50.7000","2010","2015.4940","GNB"
"Zimbabwe","50.3000","2019","44.3000","2017","15092.1710","ZWE"
"Panama","49.8000","2019","49.2000","2018","4381.5790","PAN"
"Republic of the Congo","48.9000","2011","48.9000","2011","5657.0130","COG"
"Guatemala","48.3000","2014","48.3000","2014","18249.8600","GTM"
"Costa Rica","48.2000","2019","48","2018","5139.0520","CRI"
"Honduras","48.2000","2019","52.1000","2018","10062.9910","HND"
"Benin","47.8000","2015","47.8000","2015","12451.0400","BEN"
"Cameroon","46.6000","2014","46.5000","2014","27224.2650","CMR"
"Nicaragua","46.2000","2014","46.2000","2014","6702.3850","NIC"
"Paraguay","45.7000","2019","46arCI.2000","2018","7219.6380","PRY"
"Ecuador","45.7000","2019","45.4000","2018","17888.4750","ECU"
"Jamaica","45.5000","2004","35","2016","2973.4630","JAM"
"Mexico","45.4000","2018","36.8000","2018","130262.2160","MEX"
"Comoros","45.3000","2014","45.3000","2014","888.4510","COM"
"Guyana","45.1000","1998","44.6000","2007","790.3260","GUY"
"Lesotho","44.9000","2017","44.9000","2017","2159.0790","LSO"
"Venezuela","44.8000","2006","39","2011","28704.9540","VEN"
"Malawi","44.7000","2016","44.7000","2016","19647.6840","MWI"
"Chile","44.4000","2017","44.4000","2017","19212.3610","CHL"
"South Sudan","44.1000","2016","46","2010","11381.3780","SSD"
"Rwanda","43.7000","2016","43.7000","2016","13276.5130","RWA"
"Ghana","43.5000","2016","43.5000","2016","31732.1290","GHA"
"Chad","43.3000","2011","43.3000","2011","16914.9850","TCD"
"Togo","43.1000","2015","43.1000","2015","8478.2500","TGO"
"Argentina","42.9000","2019","41.4000","2018","45605.8260","ARG"
"Uganda","42.8000","2016","42.8000","2016","47123.5310","UGA"
"Madagascar","42.6000","2012","42.6000","2012","28427.3280","MDG"
"Philippines","42.3000","2018","44.4000","2015","111046.9130","PHL"
"DR Congo","42.1000","2012","42.1000","2012","92377.9930","COD"
"Iran","42","2018","40.8000","2017","85028.7590","IRN"
